ID;LOCAL;NUMERO;BAIRRO;ANO;DATA;HORA;CIDADE;ENDEREÇO;TIPO DE FURTO;DIA DA SEMANA
1;ARAMBARE;330;RIO DOS SINOS;2024;01/01/2024;10:00:00;SAO LEOPOLDO;ARAMBARE, 330, RIO DOS SINOS, SAO LEOPOLDO;SIMPLES;segunda-feira
2;JOAO ALBERTO;646;FIAO;2024;01/01/2024;00:00:00;SAO LEOPOLDO;JOAO ALBERTO, 646, FIAO, SAO LEOPOLDO;RESIDENCIA;segunda-feira
3;SAO JOAQUIM;1095;CENTRO;2024;01/01/2024;01:00:00;SAO LEOPOLDO;SAO JOAQUIM, 1095, CENTRO, SAO LEOPOLDO;QUALIFICADO;segunda-feira
4;ASSEMBLEIA PROVINCIAL;378;RIO DOS SINOS;2024;02/01/2024;04:00:00;SAO LEOPOLDO;ASSEMBLEIA PROVINCIAL, 378, RIO DOS SINOS, SAO LEOPOLDO;RESIDENCIA;terça-feira
5;BENTO GONCALVES;1171;CENTRO;2024;02/01/2024;19:30:00;SAO LEOPOLDO;BENTO GONCALVES, 1171, CENTRO, SAO LEOPOLDO;CELULAR;terça-feira
6;CEL RANDOLFO GUASQUE;669;ARROIO DA MANTEIGA;2024;02/01/2024;02:00:00;SAO LEOPOLDO;CEL RANDOLFO GUASQUE, 669, ARROIO DA MANTEIGA, SAO LEOPOLDO;FIOS E CABOS;terça-feira
7;CEL RANDOLFO GUASQUE;607;ARROIO DA MANTEIGA;2024;02/01/2024;23:00:00;SAO LEOPOLDO;CEL RANDOLFO GUASQUE, 607, ARROIO DA MANTEIGA, SAO LEOPOLDO;FIOS E CABOS;terça-feira
8;CEL RANDOLFO GUASQUE;551;ARROIO DA MANTEIGA;2024;02/01/2024;23:00:00;SAO LEOPOLDO;CEL RANDOLFO GUASQUE, 551, ARROIO DA MANTEIGA, SAO LEOPOLDO;FIOS E CABOS;terça-feira
9;IRGON TREIN;95;DUQUE DE CAXIAS;2024;02/01/2024;06:30:00;SAO LEOPOLDO;IRGON TREIN, 95, DUQUE DE CAXIAS, SAO LEOPOLDO;SIMPLES;terça-feira
10;SATURNINO DE BRITO;68;SAO JOSE;2024;02/01/2024;06:00:00;SAO LEOPOLDO;SATURNINO DE BRITO, 68, SAO JOSE, SAO LEOPOLDO;SIMPLES;terça-feira
11;SENADOR SALGADO FILHO;3449;SANTOS DUMONT;2024;02/01/2024;02:00:00;SAO LEOPOLDO;SENADOR SALGADO FILHO, 3449, SANTOS DUMONT, SAO LEOPOLDO;COMERCIO;terça-feira
12;ANHANGUERA;358;SAO JOAO BATISTA;2024;03/01/2024;13:00:00;SAO LEOPOLDO;ANHANGUERA, 358, SAO JOAO BATISTA, SAO LEOPOLDO;QUALIFICADO;quarta-feira
13;DOM JOAO BECKER;665;CENTRO;2024;03/01/2024;17:00:00;SAO LEOPOLDO;DOM JOAO BECKER, 665, CENTRO, SAO LEOPOLDO;SIMPLES;quarta-feira
14;ESPIRITO SANTO;346;SCHARLAU;2024;03/01/2024;04:00:00;SAO LEOPOLDO;ESPIRITO SANTO, 346, SCHARLAU, SAO LEOPOLDO;RESIDENCIA;quarta-feira
15;FREDERICO MAYER;354;FEITORIA;2024;03/01/2024;01:00:00;SAO LEOPOLDO;FREDERICO MAYER, 354, FEITORIA, SAO LEOPOLDO;ARROMBAMENTO;quarta-feira
16;JOAO CORREA;2266;VICENTINA;2024;03/01/2024;03:00:00;SAO LEOPOLDO;JOAO CORREA, 2266, VICENTINA, SAO LEOPOLDO;VEICULO;quarta-feira
17;MAUA;3224;SANTOS DUMONT;2024;03/01/2024;11:00:00;SAO LEOPOLDO;MAUA, 3224, SANTOS DUMONT, SAO LEOPOLDO;SIMPLES;quarta-feira
18;PEDRO ALVARES CABRAL;133;ARROIO DA MANTEIGA;2024;03/01/2024;20:00:00;SAO LEOPOLDO;PEDRO ALVARES CABRAL, 133, ARROIO DA MANTEIGA, SAO LEOPOLDO;RESIDENCIA;quarta-feira
19;SAO PAULO;450;CENTRO;2024;03/01/2024;17:00:00;SAO LEOPOLDO;SAO PAULO, 450, CENTRO, SAO LEOPOLDO;SIMPLES;quarta-feira
20;SETE;0;SANTOS DUMONT;2024;03/01/2024;02:00:00;SAO LEOPOLDO;SETE, 0, SANTOS DUMONT, SAO LEOPOLDO;RESIDENCIA;quarta-feira
21;UNISINOS;950;SAO JOAO BATISTA;2024;03/01/2024;10:00:00;SAO LEOPOLDO;UNISINOS, 950, SAO JOAO BATISTA, SAO LEOPOLDO;CELULAR;quarta-feira
22;DOM JOAO BECKER;270;CENTRO;2024;04/01/2024;13:00:00;SAO LEOPOLDO;DOM JOAO BECKER, 270, CENTRO, SAO LEOPOLDO;QUALIFICADO;quinta-feira
23;IMPERATRIZ LEOPOLDINA;1600;PINHEIRO;2024;04/01/2024;10:30:00;SAO LEOPOLDO;IMPERATRIZ LEOPOLDINA, 1600, PINHEIRO, SAO LEOPOLDO;SIMPLES;quinta-feira
24;MAUA;0;SANTOS DUMONT;2024;04/01/2024;01:30:00;SAO LEOPOLDO;MAUA, 0, SANTOS DUMONT, SAO LEOPOLDO;FIOS E CABOS;quinta-feira
25;PESQUEIRO;375;CAMPINA;2024;04/01/2024;05:00:00;SAO LEOPOLDO;PESQUEIRO, 375, CAMPINA, SAO LEOPOLDO;FIOS E CABOS;quinta-feira
26;POTTENSTEIN;40;FEITORIA;2024;04/01/2024;00:00:00;SAO LEOPOLDO;POTTENSTEIN, 40, FEITORIA, SAO LEOPOLDO;RESIDENCIA;quinta-feira
27;SAO DOMINGOS;1155;CENTRO;2024;04/01/2024;23:00:00;SAO LEOPOLDO;SAO DOMINGOS, 1155, CENTRO, SAO LEOPOLDO;RESIDENCIA;quinta-feira
28;VISCONDE DE SAO LEOPOLDO;1020;VICENTINA;2024;04/01/2024;18:00:00;SAO LEOPOLDO;VISCONDE DE SAO LEOPOLDO, 1020, VICENTINA, SAO LEOPOLDO;CELULAR;quinta-feira
29;ARNALDO PEREIRA DA SILVA;462;SANTOS DUMONT;2024;05/01/2024;11:00:00;SAO LEOPOLDO;ARNALDO PEREIRA DA SILVA, 462, SANTOS DUMONT, SAO LEOPOLDO;QUALIFICADO;sexta-feira
30;AUGUSTO EUGENIO DAUDT;125;FEITORIA;2024;05/01/2024;18:00:00;SAO LEOPOLDO;AUGUSTO EUGENIO DAUDT, 125, FEITORIA, SAO LEOPOLDO;FIOS E CABOS;sexta-feira
31;CORONEL ATALIBIO TAURINO DE REZENDE;1157;RIO DOS SINOS;2024;05/01/2024;14:30:00;SAO LEOPOLDO;CORONEL ATALIBIO TAURINO DE REZENDE, 1157, RIO DOS SINOS, SAO LEOPOLDO;QUALIFICADO;sexta-feira
32;DR JOAO DUTRA;226;RIO BRANCO;2024;05/01/2024;23:30:00;SAO LEOPOLDO;DR JOAO DUTRA, 226, RIO BRANCO, SAO LEOPOLDO;FIOS E CABOS;sexta-feira
33;JOAO CARLOS HOHENDORFF;93;ARROIO DA MANTEIGA;2024;05/01/2024;13:00:00;SAO LEOPOLDO;JOAO CARLOS HOHENDORFF, 93, ARROIO DA MANTEIGA, SAO LEOPOLDO;VEICULO;sexta-feira
34;MAUA;2035;SANTOS DUMONT;2024;05/01/2024;20:30:00;SAO LEOPOLDO;MAUA, 2035, SANTOS DUMONT, SAO LEOPOLDO;QUALIFICADO;sexta-feira
35;SALDANHA DA GAMA;494;CENTRO;2024;05/01/2024;08:30:00;SAO LEOPOLDO;SALDANHA DA GAMA, 494, CENTRO, SAO LEOPOLDO;QUALIFICADO;sexta-feira
36;THEODOMIRO PORTO DA FONSECA;2120;PADRE REUS;2024;05/01/2024;12:30:00;SAO LEOPOLDO;THEODOMIRO PORTO DA FONSECA, 2120, PADRE REUS, SAO LEOPOLDO;QUALIFICADO;sexta-feira
37;ADELFO PINTO;137;FEITORIA;2024;06/01/2024;12:00:00;SAO LEOPOLDO;ADELFO PINTO, 137, FEITORIA, SAO LEOPOLDO;SIMPLES;sábado
38;BRASIL CAMORETO GAL;200;SANTA TERESA;2024;06/01/2024;18:00:00;SAO LEOPOLDO;BRASIL CAMORETO GAL, 200, SANTA TERESA, SAO LEOPOLDO;SIMPLES;sábado
39;CORONEL ATALIBIO TAURINO DE REZENDE;1241;RIO DOS SINOS;2024;06/01/2024;21:30:00;SAO LEOPOLDO;CORONEL ATALIBIO TAURINO DE REZENDE, 1241, RIO DOS SINOS, SAO LEOPOLDO;FIOS E CABOS;sábado
40;IMPERATRIZ LEOPOLDINA;45;SAO JOSE;2024;06/01/2024;16:00:00;SAO LEOPOLDO;IMPERATRIZ LEOPOLDINA, 45, SAO JOSE, SAO LEOPOLDO;SIMPLES;sábado
41;IMPERATRIZ LEOPOLDINA;2300;PINHEIRO;2024;06/01/2024;19:30:00;SAO LEOPOLDO;IMPERATRIZ LEOPOLDINA, 2300, PINHEIRO, SAO LEOPOLDO;VEICULO;sábado
42;JOAO CARLOS HOHENDORFF;93;ARROIO DA MANTEIGA;2024;06/01/2024;13:00:00;SAO LEOPOLDO;JOAO CARLOS HOHENDORFF, 93, ARROIO DA MANTEIGA, SAO LEOPOLDO;VEICULO;sábado
43;REINALDO KOLING;48;SCHARLAU;2024;06/01/2024;22:00:00;SAO LEOPOLDO;REINALDO KOLING, 48, SCHARLAU, SAO LEOPOLDO;FIOS E CABOS;sábado
44;SAO PEDRO;977;CENTRO;2024;06/01/2024;17:00:00;SAO LEOPOLDO;SAO PEDRO, 977, CENTRO, SAO LEOPOLDO;RESIDENCIA;sábado
45;CORONEL ATALIBIO TAURINO DE REZENDE;1931;SCHARLAU;2024;07/01/2024;19:30:00;SAO LEOPOLDO;CORONEL ATALIBIO TAURINO DE REZENDE, 1931, SCHARLAU, SAO LEOPOLDO;FIOS E CABOS;domingo
46;JOAO ALBERTO;671;FIAO;2024;07/01/2024;22:30:00;SAO LEOPOLDO;JOAO ALBERTO, 671, FIAO, SAO LEOPOLDO;SIMPLES;domingo
47;JOAO CORREA;265;SAO JOSE;2024;07/01/2024;18:30:00;SAO LEOPOLDO;JOAO CORREA, 265, SAO JOSE, SAO LEOPOLDO;COMERCIO;domingo
48;JOAO CORREA;2830;VICENTINA;2024;07/01/2024;19:00:00;SAO LEOPOLDO;JOAO CORREA, 2830, VICENTINA, SAO LEOPOLDO;RESIDENCIA;domingo
49;JOAO CORREA;996;CENTRO;2024;07/01/2024;18:30:00;SAO LEOPOLDO;JOAO CORREA, 996, CENTRO, SAO LEOPOLDO;CELULAR;domingo
50;PEDRAS ALTAS;48;SANTO ANDRE;2024;07/01/2024;13:00:00;SAO LEOPOLDO;PEDRAS ALTAS, 48, SANTO ANDRE, SAO LEOPOLDO;RESIDENCIA;domingo
51;THOMAS EDSON;2139;VICENTINA;2024;07/01/2024;12:00:00;SAO LEOPOLDO;THOMAS EDSON, 2139, VICENTINA, SAO LEOPOLDO;COMERCIO;domingo
52;CATULO CEARENSE;62;SCHARLAU;2024;08/01/2024;06:30:00;SAO LEOPOLDO;CATULO CEARENSE, 62, SCHARLAU, SAO LEOPOLDO;RESIDENCIA;segunda-feira
53;CORONEL ATALIBIO TAURINO DE REZENDE;1305;RIO DOS SINOS;2024;08/01/2024;17:30:00;SAO LEOPOLDO;CORONEL ATALIBIO TAURINO DE REZENDE, 1305, RIO DOS SINOS, SAO LEOPOLDO;FIOS E CABOS;segunda-feira
54;INTEGRACAO;2525;FEITORIA;2024;08/01/2024;12:00:00;SAO LEOPOLDO;INTEGRACAO, 2525, FEITORIA, SAO LEOPOLDO;RESIDENCIA;segunda-feira
55;PIO XI;100;SCHARLAU;2024;08/01/2024;14:00:00;SAO LEOPOLDO;PIO XI, 100, SCHARLAU, SAO LEOPOLDO;FIOS E CABOS;segunda-feira
56;PRIMAVERA;440;CAMPINA;2024;08/01/2024;06:00:00;SAO LEOPOLDO;PRIMAVERA, 440, CAMPINA, SAO LEOPOLDO;FIOS E CABOS;segunda-feira
57;CATUMBI;178;SCHARLAU;2024;09/01/2024;08:30:00;SAO LEOPOLDO;CATUMBI, 178, SCHARLAU, SAO LEOPOLDO;FIOS E CABOS;terça-feira
58;JOAO PEREIRA CHAVES;476;JARDIM AMERICA;2024;09/01/2024;08:30:00;SAO LEOPOLDO;JOAO PEREIRA CHAVES, 476, JARDIM AMERICA, SAO LEOPOLDO;RESIDENCIA;terça-feira
59;PIO XI;0;SCHARLAU;2024;09/01/2024;15:00:00;SAO LEOPOLDO;PIO XI, 0, SCHARLAU, SAO LEOPOLDO;FIOS E CABOS;terça-feira
60;THARCILO NUNES;1500;SANTO ANDRE;2024;09/01/2024;08:30:00;SAO LEOPOLDO;THARCILO NUNES, 1500, SANTO ANDRE, SAO LEOPOLDO;SIMPLES;terça-feira
61;VENANCIO AIRES;336;CAMPESTRE;2024;09/01/2024;02:00:00;SAO LEOPOLDO;VENANCIO AIRES, 336, CAMPESTRE, SAO LEOPOLDO;RESIDENCIA;terça-feira
62;BALDUINO WEBER;65;FEITORIA;2024;10/01/2024;05:30:00;SAO LEOPOLDO;BALDUINO WEBER, 65, FEITORIA, SAO LEOPOLDO;QUALIFICADO;quarta-feira
63;DAS CAMELIAS;260;PINHEIRO;2024;10/01/2024;09:00:00;SAO LEOPOLDO;DAS CAMELIAS, 260, PINHEIRO, SAO LEOPOLDO;SIMPLES;quarta-feira
64;FELIZ;10;CAMPESTRE;2024;10/01/2024;19:30:00;SAO LEOPOLDO;FELIZ, 10, CAMPESTRE, SAO LEOPOLDO;CELULAR;quarta-feira
65;HENRIQUE BIER;929;CAMPINA;2024;10/01/2024;19:30:00;SAO LEOPOLDO;HENRIQUE BIER, 929, CAMPINA, SAO LEOPOLDO;VEICULO;quarta-feira
66;HENRIQUE BIER;2344;ARROIO DA MANTEIGA;2024;10/01/2024;14:00:00;SAO LEOPOLDO;HENRIQUE BIER, 2344, ARROIO DA MANTEIGA, SAO LEOPOLDO;VEICULO;quarta-feira
67;HENRIQUE BIER;4770;ARROIO DA MANTEIGA;2024;10/01/2024;09:00:00;SAO LEOPOLDO;HENRIQUE BIER, 4770, ARROIO DA MANTEIGA, SAO LEOPOLDO;VEICULO;quarta-feira
68;INDEPENDENCIA;1027;CENTRO;2024;10/01/2024;04:00:00;SAO LEOPOLDO;INDEPENDENCIA, 1027, CENTRO, SAO LEOPOLDO;QUALIFICADO;quarta-feira
69;JAIME BIZ;307;SCHARLAU;2024;10/01/2024;04:00:00;SAO LEOPOLDO;JAIME BIZ, 307, SCHARLAU, SAO LEOPOLDO;FIOS E CABOS;quarta-feira
70;JOSE BONIFACIO;416;CENTRO;2024;10/01/2024;14:00:00;SAO LEOPOLDO;JOSE BONIFACIO, 416, CENTRO, SAO LEOPOLDO;SIMPLES;quarta-feira
71;LINDOLFO COLLOR;439;CENTRO;2024;10/01/2024;11:30:00;SAO LEOPOLDO;LINDOLFO COLLOR, 439, CENTRO, SAO LEOPOLDO;CELULAR;quarta-feira
72;SENADOR SALGADO FILHO;2058;SCHARLAU;2024;10/01/2024;11:00:00;SAO LEOPOLDO;SENADOR SALGADO FILHO, 2058, SCHARLAU, SAO LEOPOLDO;FIOS E CABOS;quarta-feira
73;CORTE REAL;544;SCHARLAU;2024;11/01/2024;22:00:00;SAO LEOPOLDO;CORTE REAL, 544, SCHARLAU, SAO LEOPOLDO;FIOS E CABOS;quinta-feira
74;DO MORRO DO PAULA;101;FAZENDA SAO BORJA;2024;11/01/2024;18:00:00;SAO LEOPOLDO;DO MORRO DO PAULA, 101, FAZENDA SAO BORJA, SAO LEOPOLDO;SIMPLES;quinta-feira
75;FEITORIA;123;RIO BRANCO;2024;11/01/2024;08:30:00;SAO LEOPOLDO;FEITORIA, 123, RIO BRANCO, SAO LEOPOLDO;SIMPLES;quinta-feira
76;HENRIQUE BIER;1338;CAMPINA;2024;11/01/2024;20:00:00;SAO LEOPOLDO;HENRIQUE BIER, 1338, CAMPINA, SAO LEOPOLDO;VEICULO;quinta-feira
77;IMPERATRIZ LEOPOLDINA;45;SAO JOSE;2024;11/01/2024;20:00:00;SAO LEOPOLDO;IMPERATRIZ LEOPOLDINA, 45, SAO JOSE, SAO LEOPOLDO;SIMPLES;quinta-feira
78;VASCO DA GAMA;43;ARROIO DA MANTEIGA;2024;11/01/2024;20:30:00;SAO LEOPOLDO;VASCO DA GAMA, 43, ARROIO DA MANTEIGA, SAO LEOPOLDO;ARROMBAMENTO;quinta-feira
79;GETULIO VARGAS;1100;CENTRO;2024;12/01/2024;19:30:00;SAO LEOPOLDO;GETULIO VARGAS, 1100, CENTRO, SAO LEOPOLDO;VEICULO;sexta-feira
80;PIO XII;175;CRISTO REI;2024;12/01/2024;01:00:00;SAO LEOPOLDO;PIO XII, 175, CRISTO REI, SAO LEOPOLDO;SIMPLES;sexta-feira
81;PRESIDENTE LUCENA;800;SCHARLAU;2024;13/01/2024;11:30:00;SAO LEOPOLDO;PRESIDENTE LUCENA, 800, SCHARLAU, SAO LEOPOLDO;FIOS E CABOS;sábado
82;SALDANHA DA GAMA;890;CENTRO;2024;13/01/2024;12:00:00;SAO LEOPOLDO;SALDANHA DA GAMA, 890, CENTRO, SAO LEOPOLDO;SIMPLES;sábado
83;SAO JOAQUIM;1200;CENTRO;2024;13/01/2024;13:30:00;SAO LEOPOLDO;SAO JOAQUIM, 1200, CENTRO, SAO LEOPOLDO;SIMPLES;sábado
84;GETULIO VARGAS;2149;VICENTINA;2024;14/01/2024;22:00:00;SAO LEOPOLDO;GETULIO VARGAS, 2149, VICENTINA, SAO LEOPOLDO;VEICULO;domingo
85;GETULIO VARGAS;3952;SAO JOAO BATISTA;2024;14/01/2024;11:00:00;SAO LEOPOLDO;GETULIO VARGAS, 3952, SAO JOAO BATISTA, SAO LEOPOLDO;VEICULO;domingo
86;LEOPOLDO WASUN;SN;SANTOS DUMONT;2024;14/01/2024;20:30:00;SAO LEOPOLDO;LEOPOLDO WASUN, SN, SANTOS DUMONT, SAO LEOPOLDO;SIMPLES;domingo
87;THOMAS EDSON;2299;SCHARLAU;2024;14/01/2024;23:30:00;SAO LEOPOLDO;THOMAS EDSON, 2299, SCHARLAU, SAO LEOPOLDO;COMERCIO;domingo
88;FRANCISCO FERREIRA GOMES;157;SANTO ANDRE;2024;15/01/2024;00:30:00;SAO LEOPOLDO;FRANCISCO FERREIRA GOMES, 157, SANTO ANDRE, SAO LEOPOLDO;FIOS E CABOS;segunda-feira
89;FRANCISCO FERREIRA GOMES;157;SANTO ANDRE;2024;15/01/2024;00:00:00;SAO LEOPOLDO;FRANCISCO FERREIRA GOMES, 157, SANTO ANDRE, SAO LEOPOLDO;FIOS E CABOS;segunda-feira
90;GETULIO VARGAS;1944;FIAO;2024;15/01/2024;17:00:00;SAO LEOPOLDO;GETULIO VARGAS, 1944, FIAO, SAO LEOPOLDO;VEICULO;segunda-feira
91;PINTO BANDEIRA;179;SCHARLAU;2024;15/01/2024;03:30:00;SAO LEOPOLDO;PINTO BANDEIRA, 179, SCHARLAU, SAO LEOPOLDO;FIOS E CABOS;segunda-feira
92;SABINO MAGALHAES;164;SANTO ANDRE;2024;15/01/2024;01:00:00;SAO LEOPOLDO;SABINO MAGALHAES, 164, SANTO ANDRE, SAO LEOPOLDO;QUALIFICADO;segunda-feira
93;SILVINO BRAZILIENSE DE FREITAS;98;SANTOS DUMONT;2024;15/01/2024;16:30:00;SAO LEOPOLDO;SILVINO BRAZILIENSE DE FREITAS, 98, SANTOS DUMONT, SAO LEOPOLDO;SIMPLES;segunda-feira
94;THOMAS EDSON;2984;SCHARLAU;2024;15/01/2024;02:00:00;SAO LEOPOLDO;THOMAS EDSON, 2984, SCHARLAU, SAO LEOPOLDO;FIOS E CABOS;segunda-feira
95;HENRIQUE BIER;1560;CAMPINA;2024;16/01/2024;15:00:00;SAO LEOPOLDO;HENRIQUE BIER, 1560, CAMPINA, SAO LEOPOLDO;SIMPLES;terça-feira
96;LINDOLFO COLLOR;247;CENTRO;2024;16/01/2024;14:00:00;SAO LEOPOLDO;LINDOLFO COLLOR, 247, CENTRO, SAO LEOPOLDO;SIMPLES;terça-feira
97;THEODOMIRO PORTO DA FONSECA;799;FIAO;2024;16/01/2024;03:00:00;SAO LEOPOLDO;THEODOMIRO PORTO DA FONSECA, 799, FIAO, SAO LEOPOLDO;CELULAR;terça-feira
98;BR 116;KM242;CAMPINA;2024;17/01/2024;00:30:00;SAO LEOPOLDO;BR 116, KM242, CAMPINA, SAO LEOPOLDO;SIMPLES;quarta-feira
99;DORALINA SILVEIRA DIAS;72;SANTA TERESA;2024;17/01/2024;01:00:00;SAO LEOPOLDO;DORALINA SILVEIRA DIAS, 72, SANTA TERESA, SAO LEOPOLDO;FIOS E CABOS;quarta-feira
100;FLORES DA CUNHA;68;CENTRO;2024;17/01/2024;18:30:00;SAO LEOPOLDO;FLORES DA CUNHA, 68, CENTRO, SAO LEOPOLDO;SIMPLES;quarta-feira
101;RAUL BOCANERA;337;SCHARLAU;2024;17/01/2024;03:30:00;SAO LEOPOLDO;RAUL BOCANERA, 337, SCHARLAU, SAO LEOPOLDO;QUALIFICADO;quarta-feira
102;SAO JOAQUIM;1200;CENTRO;2024;17/01/2024;11:00:00;SAO LEOPOLDO;SAO JOAQUIM, 1200, CENTRO, SAO LEOPOLDO;SIMPLES;quarta-feira
103;DA ESTACAO;575;RIO DOS SINOS;2024;18/01/2024;16:00:00;SAO LEOPOLDO;DA ESTACAO, 575, RIO DOS SINOS, SAO LEOPOLDO;SIMPLES;quinta-feira
104;PRESIDENTE ROOSEVELT;68;CENTRO;2024;18/01/2024;23:30:00;SAO LEOPOLDO;PRESIDENTE ROOSEVELT, 68, CENTRO, SAO LEOPOLDO;FIOS E CABOS;quinta-feira
105;SAO PEDRO;749;CENTRO;2024;18/01/2024;20:30:00;SAO LEOPOLDO;SAO PEDRO, 749, CENTRO, SAO LEOPOLDO;CELULAR;quinta-feira
106;SENADOR SALGADO FILHO;1670;SCHARLAU;2024;18/01/2024;13:00:00;SAO LEOPOLDO;SENADOR SALGADO FILHO, 1670, SCHARLAU, SAO LEOPOLDO;SIMPLES;quinta-feira
107;ELOY KOCH;130;CRISTO REI;2024;19/01/2024;10:00:00;SAO LEOPOLDO;ELOY KOCH, 130, CRISTO REI, SAO LEOPOLDO;SIMPLES;sexta-feira
108;ELOY KOCH;130;CRISTO REI;2024;19/01/2024;10:00:00;SAO LEOPOLDO;ELOY KOCH, 130, CRISTO REI, SAO LEOPOLDO;SIMPLES;sexta-feira
109;GETULIO VARGAS;2105;SAO JOAO BATISTA;2024;19/01/2024;07:00:00;SAO LEOPOLDO;GETULIO VARGAS, 2105, SAO JOAO BATISTA, SAO LEOPOLDO;VEICULO;sexta-feira
110;GETULIO VARGAS;2365;SAO JOAO BATISTA;2024;19/01/2024;06:30:00;SAO LEOPOLDO;GETULIO VARGAS, 2365, SAO JOAO BATISTA, SAO LEOPOLDO;VEICULO;sexta-feira
111;GETULIO VARGAS;2203;VICENTINA;2024;19/01/2024;23:00:00;SAO LEOPOLDO;GETULIO VARGAS, 2203, VICENTINA, SAO LEOPOLDO;VEICULO;sexta-feira
112;JOAO CARLOS HOHENDORFF;635;ARROIO DA MANTEIGA;2024;19/01/2024;07:00:00;SAO LEOPOLDO;JOAO CARLOS HOHENDORFF, 635, ARROIO DA MANTEIGA, SAO LEOPOLDO;FIOS E CABOS;sexta-feira
113;SANTA CATARINA;40;SCHARLAU;2024;19/01/2024;12:30:00;SAO LEOPOLDO;SANTA CATARINA, 40, SCHARLAU, SAO LEOPOLDO;SIMPLES;sexta-feira
114;THEODOMIRO PORTO DA FONSECA;2120;PADRE REUS;2024;19/01/2024;16:00:00;SAO LEOPOLDO;THEODOMIRO PORTO DA FONSECA, 2120, PADRE REUS, SAO LEOPOLDO;QUALIFICADO;sexta-feira
115;THOMAS EDSON;2720;VICENTINA;2024;19/01/2024;11:00:00;SAO LEOPOLDO;THOMAS EDSON, 2720, VICENTINA, SAO LEOPOLDO;SIMPLES;sexta-feira
116;DOM JOAO BECKER;926;CENTRO;2024;20/01/2024;12:00:00;SAO LEOPOLDO;DOM JOAO BECKER, 926, CENTRO, SAO LEOPOLDO;VEICULO;sábado
117;FEITORIA;2352;SANTO ANDRE;2024;20/01/2024;07:00:00;SAO LEOPOLDO;FEITORIA, 2352, SANTO ANDRE, SAO LEOPOLDO;VEICULO;sábado
118;PARANA;818;SCHARLAU;2024;20/01/2024;20:30:00;SAO LEOPOLDO;PARANA, 818, SCHARLAU, SAO LEOPOLDO;SIMPLES;sábado
119;CORONEL ATALIBIO TAURINO DE REZENDE;2767;ARROIO DA MANTEIGA;2024;21/01/2024;20:00:00;SAO LEOPOLDO;CORONEL ATALIBIO TAURINO DE REZENDE, 2767, ARROIO DA MANTEIGA, SAO LEOPOLDO;VEICULO;domingo
120;DOM FELICIANO;557;RIO DOS SINOS;2024;21/01/2024;04:00:00;SAO LEOPOLDO;DOM FELICIANO, 557, RIO DOS SINOS, SAO LEOPOLDO;QUALIFICADO;domingo
121;DOM JOAO BECKER;440;SAO MIGUEL;2024;21/01/2024;19:30:00;SAO LEOPOLDO;DOM JOAO BECKER, 440, SAO MIGUEL, SAO LEOPOLDO;VEICULO;domingo
122;SAO LEOPOLDO;SN;SANTOS DUMONT;2024;21/01/2024;20:00:00;SAO LEOPOLDO;SAO LEOPOLDO, SN, SANTOS DUMONT, SAO LEOPOLDO;SIMPLES;domingo
123;CORONEL ATALIBIO TAURINO DE REZENDE;0;RIO DOS SINOS;2024;22/01/2024;12:00:00;SAO LEOPOLDO;CORONEL ATALIBIO TAURINO DE REZENDE, 0, RIO DOS SINOS, SAO LEOPOLDO;VEICULO;segunda-feira
124;DOUTOR FREDERICO WOLFFENBUTTEL;217;FIAO;2024;22/01/2024;07:00:00;SAO LEOPOLDO;DOUTOR FREDERICO WOLFFENBUTTEL, 217, FIAO, SAO LEOPOLDO;QUALIFICADO;segunda-feira
125;FEITORIA;18;SAO JOSE;2024;22/01/2024;21:00:00;SAO LEOPOLDO;FEITORIA, 18, SAO JOSE, SAO LEOPOLDO;QUALIFICADO;segunda-feira
126;SAO BORJA;2445;FAZENDA SAO BORJA;2024;22/01/2024;20:30:00;SAO LEOPOLDO;SAO BORJA, 2445, FAZENDA SAO BORJA, SAO LEOPOLDO;QUALIFICADO;segunda-feira
127;SAO JOAQUIM;1278;CENTRO;2024;22/01/2024;09:30:00;SAO LEOPOLDO;SAO JOAQUIM, 1278, CENTRO, SAO LEOPOLDO;QUALIFICADO;segunda-feira
128;CORONEL ATALIBIO TAURINO DE REZENDE;829;CAMPINA;2024;23/01/2024;08:00:00;SAO LEOPOLDO;CORONEL ATALIBIO TAURINO DE REZENDE, 829, CAMPINA, SAO LEOPOLDO;VEICULO;terça-feira
129;DO MEIO;218;SANTOS DUMONT;2024;23/01/2024;20:00:00;SAO LEOPOLDO;DO MEIO, 218, SANTOS DUMONT, SAO LEOPOLDO;CELULAR;terça-feira
130;MARTIN GIORDANI;119;SCHARLAU;2024;23/01/2024;12:00:00;SAO LEOPOLDO;MARTIN GIORDANI, 119, SCHARLAU, SAO LEOPOLDO;SIMPLES;terça-feira
131;THOMAS EDSON;126;CAMPINA;2024;23/01/2024;10:00:00;SAO LEOPOLDO;THOMAS EDSON, 126, CAMPINA, SAO LEOPOLDO;FIOS E CABOS;terça-feira
132;CAXIAS DO SUL;194;RIO DOS SINOS;2024;24/01/2024;09:30:00;SAO LEOPOLDO;CAXIAS DO SUL, 194, RIO DOS SINOS, SAO LEOPOLDO;SIMPLES;quarta-feira
133;CAXIAS DO SUL;786;RIO DOS SINOS;2024;24/01/2024;20:00:00;SAO LEOPOLDO;CAXIAS DO SUL, 786, RIO DOS SINOS, SAO LEOPOLDO;VEICULO;quarta-feira
